ORTHOLOG_SET	MIN_PERCENT_ID	MAX_PERCENT_ID	AVG_PERCENT_ID	STD_DEV	NUM_PRODIGAL_STARTS	NUM_CORRECTIONS
G3_D2_2123	88.01	100.0	92.59	4.62	5	0
G3_D2_1860	78.88	100.0	88.42	7.58	5	0
G3_D2_0374	62.5	100.0	78.65	14.93	5	0
G3_D2_0375	60.09	100.0	77.16	14.07	3	2
G3_D2_2500	42.38	100.0	67.16	21.59	5	0
G3_D2_2501	80.77	100.0	90.03	7.28	5	0
G3_D2_2505	52.52	100.0	72.97	17.31	5	0
G3_D2_2506	41.5	100.0	68.86	19.81	5	0
G3_D2_1858	87.73	100.0	93.74	4.72	5	0
G3_D2_1859	84.58	100.0	90.6	5.88	5	0
G3_D2_2115	79.54	100.0	89.59	7.66	5	0
G3_D2_1850	83.22	100.0	90.71	6.52	5	0
G3_D2_0366	80.74	100.0	90.56	6.51	5	0
G3_D2_2114	83.61	100.0	91.56	5.99	5	0
G3_D2_1851	90.18	100.0	96.48	3.83	5	0
G3_D2_0365	90.41	100.0	95.5	3.41	5	0
G3_D2_2117	71.02	100.0	88.0	11.3	5	0
G3_D2_1852	81.88	100.0	90.14	6.24	2	3
G3_D2_0368	64.07	100.0	79.05	13.88	0	5
G3_D2_2116	68.87	100.0	84.33	11.29	0	5
G3_D2_1853	89.64	100.0	94.74	3.62	5	0
G3_D2_0367	32.86	100.0	58.23	25.58	5	0
G3_D2_2119	74.9	100.0	86.0	9.61	4	1
G3_D2_1854	77.84	100.0	87.94	7.79	5	0
G3_D2_2118	61.54	100.0	82.55	15.13	5	0
G3_D2_1855	85.07	100.0	92.61	5.29	5	0
G3_D2_0369	55.49	100.0	73.2	17.34	5	0
G3_D2_1856	73.16	100.0	86.21	10.54	5	0
G3_D2_1857	62.32	100.0	82.42	13.01	4	1
G3_D2_0363	41.33	100.0	61.68	22.39	0	5
G3_D2_0364	44.93	100.0	74.95	21.51	0	5
G3_D2_0361	86.66	100.0	92.56	5.01	5	0
G3_D2_0362	74.24	100.0	87.44	9.43	0	5
G3_D2_0360	71.11	100.0	83.71	10.27	0	5
G3_D1_2072	59.91	100.0	80.07	14.88	0	5
G3_D2_1849	79.49	100.0	89.12	7.67	5	0
G3_D2_1848	28.02	100.0	67.23	26.09	0	5
G3_D2_0359	34.39	100.0	59.54	22.43	0	5
G3_D2_0358	77.65	100.0	89.65	8.27	5	0
G3_D1_2070	67.74	100.0	79.98	11.81	3	2
G3_D2_0357	83.57	100.0	90.83	5.8	5	0
G3_D2_0356	90.28	100.0	95.0	3.11	5	0
G3_D2_0355	58.33	100.0	83.38	17.02	5	0
G3_D2_0354	81.71	100.0	89.72	7.09	5	0
G3_D2_2100	86.19	100.0	93.54	5.18	5	0
G3_D2_0351	74.51	100.0	85.48	10.24	5	0
G3_D2_2101	88.02	100.0	93.81	4.71	5	0
G3_D2_0352	60.1	100.0	82.94	14.03	5	0
G3_D2_2102	95.04	100.0	97.79	1.86	5	0
G3_D2_0353	22.92	100.0	76.57	19.01	4	1
G3_D1_2059	75.75	100.0	86.98	9.33	5	0
G3_D1_2061	63.16	100.0	79.74	13.41	5	0
G3_D2_1836	82.65	100.0	90.76	5.85	5	0
G3_D2_1837	71.96	100.0	84.72	10.35	3	2
G3_D2_1832	77.42	100.0	88.53	7.61	5	0
G3_D2_0348	81.25	100.0	88.9	7.03	5	0
G3_D2_1833	74.68	100.0	85.56	9.1	5	0
G3_D2_1834	90.87	100.0	95.82	3.57	5	0
G3_D2_1835	82.89	100.0	92.08	6.28	5	0
G3_D2_0349	33.55	100.0	59.99	26.56	4	1
G3_D2_0344	74.8	100.0	85.69	9.01	5	0
G3_D2_0343	70.15	100.0	83.05	11.78	0	5
G3_D2_1830	70.79	100.0	84.36	10.51	5	0
G3_D2_0346	74.93	100.0	86.42	9.06	5	0
G3_D2_1831	64.26	100.0	81.12	14.01	5	0
G3_D2_0345	82.35	100.0	89.37	6.74	5	0
G3_D2_2557	98.46	100.0	99.51	0.72	5	0
G3_D2_2556	98.32	100.0	99.19	0.84	5	0
G3_D2_2555	91.6	100.0	96.15	3.05	2	3
G3_D2_2554	85.57	100.0	91.83	5.46	5	0
G3_D1_1800	73.91	100.0	86.92	9.89	5	0
G3_D1_2049	51.68	100.0	78.38	18.25	5	0
G3_D2_2559	87.5	100.0	93.47	4.54	4	1
G3_D2_2558	90.38	100.0	95.18	3.61	5	0
G3_D1_1806	84.83	100.0	90.88	5.47	5	0
G3_D2_2150	85.85	100.0	92.44	5.21	5	0
G3_D2_2157	93.41	100.0	97.54	2.43	5	0
G3_D2_0342	68.89	100.0	82.72	11.71	5	0
G3_D2_2156	88.89	100.0	93.54	4.33	0	5
G3_D1_1802	74.21	100.0	86.35	9.72	0	5
G3_D2_0341	66.0	100.0	79.04	13.29	0	5
G3_D2_2155	95.16	100.0	98.19	1.73	5	0
G3_D1_1805	40.66	100.0	73.17	16.88	4	1
G3_D2_0340	55.47	100.0	75.86	16.33	3	2
G3_D1_1804	58.14	100.0	76.91	15.78	4	1
G3_D2_2149	89.17	100.0	93.68	3.84	5	0
G3_D2_0335	61.18	100.0	81.61	13.37	0	5
G3_D2_2147	80.13	100.0	87.42	7.96	5	0
G3_D2_2148	78.06	100.0	85.29	8.67	5	0
G3_D2_0338	66.51	100.0	82.87	10.75	0	5
G3_D2_0339	78.54	100.0	88.27	8.2	0	5
G3_D2_0336	68.33	100.0	83.9	11.7	5	0
G3_D2_0337	64.89	100.0	80.31	12.57	5	0
G3_D2_1828	78.85	100.0	88.42	7.41	5	0
G3_D2_2560	82.46	100.0	90.04	6.29	5	0
G3_D2_1827	86.36	100.0	93.46	5.11	5	0
G3_D2_1826	85.71	100.0	92.97	5.15	5	0
G3_D1_2054	63.52	100.0	82.44	13.76	2	3
G3_D1_2053	51.72	100.0	78.16	17.48	0	5
G3_D2_2561	81.2	100.0	89.2	7.27	5	0
G3_D1_2051	48.43	100.0	71.23	19.26	5	0
G3_D2_2562	64.8	100.0	78.39	13.7	5	0
G3_D2_1829	72.27	100.0	86.23	9.87	5	0
G3_D1_2050	60.77	100.0	77.73	14.29	4	1
G3_D2_2543	69.34	100.0	83.42	11.75	5	0
G3_D1_1811	34.04	100.0	71.88	24.07	5	0
G3_D1_2036	82.23	100.0	88.97	7.03	5	0
G3_D1_2037	69.95	100.0	81.39	11.76	0	5
G3_D2_2160	87.02	100.0	94.35	4.89	5	0
G3_D1_2038	64.46	100.0	82.8	11.79	5	0
G3_D1_2039	64.45	100.0	79.03	13.84	5	0
G3_D2_2161	86.91	100.0	93.36	5.23	5	0
G3_D2_2164	81.05	100.0	89.91	6.56	5	0
G3_D2_2163	81.23	100.0	89.83	6.54	5	0
G3_D1_1817	62.14	100.0	78.25	14.97	5	0
G3_D2_2166	89.46	100.0	95.12	3.48	5	0
G3_D1_1816	61.8	100.0	79.84	14.18	5	0
G3_D2_2165	85.57	100.0	92.05	5.29	5	0
G3_D2_2168	80.69	100.0	89.47	7.25	5	0
G3_D1_1814	79.17	100.0	88.52	8.24	5	0
G3_D2_2167	80.95	100.0	89.23	7.0	5	0
G3_D1_1813	86.14	100.0	93.53	4.9	5	0
G3_D2_2158	78.0	100.0	90.93	8.35	5	0
G3_D2_2159	93.93	100.0	97.43	2.12	5	0
G3_D2_0323	74.48	100.0	86.78	9.02	5	0
G3_D2_1811	86.39	100.0	92.24	5.17	5	0
G3_D2_0326	56.47	100.0	74.94	15.77	5	0
G3_D2_1813	89.68	100.0	94.28	3.37	5	0
G3_D2_0327	82.51	100.0	89.85	6.46	5	0
G3_D2_0328	68.47	100.0	84.99	11.71	5	0
G3_D2_1815	75.42	100.0	86.09	9.17	5	0
G3_D1_2044	64.19	100.0	80.94	12.77	5	0
G3_D2_0329	76.4	100.0	87.37	8.34	5	0
G3_D2_1814	50.9	100.0	68.5	18.44	0	5
G3_D1_2043	74.78	100.0	86.41	9.0	0	5
G3_D2_1817	67.53	100.0	81.3	11.98	5	0
G3_D1_2046	36.25	100.0	76.32	20.76	5	0
G3_D2_1816	68.84	100.0	82.55	11.93	0	5
G3_D1_2045	71.52	100.0	82.46	11.23	5	0
G3_D1_2040	76.02	100.0	87.67	8.74	4	1
G3_D2_2551	42.62	100.0	68.98	21.65	0	5
G3_D2_2552	71.53	100.0	83.77	9.61	4	1
G3_D1_2042	69.15	100.0	81.43	11.5	0	5
G3_D2_2553	85.29	100.0	91.7	5.51	5	0
G3_D1_2041	74.65	100.0	86.56	9.23	5	0
G3_D2_2539	41.99	100.0	67.0	21.51	2	3
G3_D1_2027	88.72	100.0	93.38	4.48	5	0
G3_D2_2538	65.42	100.0	85.51	11.29	5	0
G3_D2_2537	40.0	100.0	61.98	22.3	5	0
G3_D1_2025	81.96	100.0	91.17	6.76	5	0
G3_D2_2536	93.98	100.0	97.35	2.08	5	0
G3_D1_2026	90.67	100.0	94.89	3.55	5	0
G3_D2_2535	79.0	100.0	88.99	7.51	5	0
G3_D2_2534	36.68	100.0	60.22	25.37	5	0
G3_D2_2533	56.87	100.0	77.93	15.53	5	0
G3_D1_2029	81.73	100.0	88.09	7.18	5	0
G3_D2_2532	90.13	100.0	94.08	4.01	5	0
G3_D2_2134	79.94	100.0	88.53	7.58	5	0
G3_D2_2133	76.7	100.0	87.73	8.21	5	0
G3_D2_2132	66.14	100.0	80.19	11.72	3	2
G3_D2_2131	67.04	100.0	80.27	12.73	3	2
G3_D2_2130	63.25	100.0	79.29	14.32	5	0
G3_D2_0316	73.36	100.0	85.8	9.86	5	0
G3_D2_0314	68.27	100.0	86.64	12.42	5	0
G3_D2_0315	70.28	100.0	81.72	11.09	5	0
G3_D2_0312	81.02	100.0	89.46	6.64	5	0
G3_D2_2128	71.03	100.0	84.89	10.22	5	0
G3_D2_0313	69.33	100.0	81.42	11.6	5	0
G3_D2_2126	73.91	100.0	87.55	9.85	5	0
G3_D2_0311	78.04	100.0	89.01	7.86	5	0
G3_D2_2541	85.88	100.0	94.26	5.08	5	0
G3_D1_2031	79.17	100.0	90.5	7.05	5	0
G3_D1_2030	59.2	100.0	81.21	15.28	4	1
G3_D2_2540	23.34	100.0	52.44	26.55	5	0
G3_D2_1806	36.67	100.0	62.57	23.22	0	5
G3_D1_2035	65.06	100.0	78.8	12.82	5	0
G3_D2_1805	78.35	100.0	85.65	9.02	5	0
G3_D1_2032	71.42	100.0	83.48	10.72	5	0
G3_D2_2526	78.94	100.0	87.77	7.47	5	0
G3_D1_2014	44.08	100.0	64.86	23.16	3	2
G3_D1_2015	83.89	100.0	90.87	6.46	5	0
G3_D2_2528	77.17	100.0	86.92	7.96	1	4
G3_D1_2016	72.53	100.0	84.22	11.24	0	5
G3_D2_2527	80.57	100.0	90.41	7.42	5	0
G3_D1_2017	80.8	100.0	89.45	6.75	5	0
G3_D2_2522	90.98	100.0	95.75	3.53	0	5
G3_D1_2018	69.52	100.0	84.2	10.43	5	0
G3_D2_2521	85.01	100.0	92.84	5.53	5	0
G3_D1_2019	63.75	100.0	83.46	13.06	5	0
G3_D1_1833	49.58	100.0	80.71	21.62	0	5
G3_D2_2524	60.47	100.0	80.43	14.56	5	0
G3_D2_2523	91.12	100.0	95.92	3.23	5	0
G3_D2_2144	64.29	100.0	83.22	12.84	5	0
G3_D1_1838	47.76	100.0	73.52	18.36	4	1
G3_D2_2143	60.38	100.0	79.62	13.21	5	0
G3_D2_2145	70.67	100.0	82.41	11.59	4	1
G3_D2_2140	74.05	100.0	85.16	9.78	0	5
G3_D2_2529	77.28	100.0	89.29	7.96	5	0
G3_D2_2142	70.26	100.0	87.16	10.86	5	0
G3_D2_2141	84.79	100.0	91.54	5.77	5	0
G3_D2_0304	69.8	100.0	82.18	12.15	5	0
G3_D2_0305	70.63	100.0	84.97	11.2	5	0
G3_D2_0306	90.6	100.0	94.18	3.59	5	0
G3_D2_2136	83.27	100.0	89.16	6.61	5	0
G3_D2_2137	47.75	100.0	73.55	19.71	0	5
G3_D2_0300	71.69	100.0	84.05	11.4	5	0
G3_D2_2138	77.97	100.0	90.92	8.88	5	0
G3_D2_2139	63.88	100.0	79.55	13.09	4	1
G3_D2_0302	78.74	100.0	87.41	7.79	5	0
G3_D2_2530	65.82	100.0	79.73	12.17	5	0
G3_D1_2020	40.7	100.0	65.95	20.27	4	1
G3_D2_2531	91.85	100.0	96.27	2.95	5	0
G3_D1_2022	79.48	100.0	87.37	8.09	5	0
G3_D2_0307	75.5	100.0	87.4	8.41	5	0
G3_D1_2021	44.85	100.0	68.18	20.33	5	0
G3_D1_2024	64.75	100.0	82.58	12.7	4	1
G3_D2_0309	37.91	100.0	71.7	23.81	0	5
G3_D1_2023	82.91	100.0	91.27	5.99	5	0
G3_D1_2010	91.58	100.0	96.42	2.92	5	0
G3_D1_2011	90.57	100.0	96.12	3.48	5	0
G3_D1_2012	65.43	100.0	78.52	12.74	0	5
G3_D1_2013	69.51	100.0	85.56	11.42	4	1
G3_D1_1848	72.55	100.0	83.58	10.59	5	0
G3_D1_1846	88.35	100.0	93.63	3.74	5	0
G3_D1_1847	72.56	100.0	85.93	10.14	5	0
G3_D2_2598	61.59	100.0	78.78	14.81	0	5
G3_D1_1844	63.26	100.0	80.67	13.8	0	5
G3_D2_2599	44.62	100.0	67.9	20.91	4	1
G3_D1_1845	80.37	100.0	88.71	7.03	5	0
G3_D1_2009	73.77	100.0	83.76	10.37	3	2
G3_D1_1843	58.31	100.0	74.64	15.31	5	0
G3_D1_2006	42.75	100.0	68.62	19.9	5	0
G3_D1_2005	81.4	100.0	90.01	6.87	0	5
G3_D2_2593	55.91	100.0	76.12	16.66	5	0
G3_D2_2592	79.52	100.0	87.12	8.38	5	0
G3_D2_2591	67.2	100.0	80.8	12.78	5	0
G3_D2_2590	77.82	100.0	88.79	8.16	5	0
G3_D2_2597	37.85	100.0	66.95	23.09	4	1
G3_D2_2596	88.09	100.0	93.74	4.27	5	0
G3_D2_2595	86.13	100.0	92.3	5.24	0	5
G3_D2_2594	81.88	100.0	91.29	5.87	4	1
G3_D1_1857	71.08	100.0	84.2	10.45	5	0
G3_D1_1858	72.24	100.0	86.47	10.66	1	4
G3_D1_1859	79.41	100.0	88.85	7.98	5	0
G3_D2_2589	67.16	100.0	85.07	11.72	1	4
G3_D1_1853	72.34	100.0	83.52	11.04	0	5
G3_D1_1854	63.81	100.0	78.03	15.05	4	1
G3_D2_2587	51.01	100.0	71.64	16.52	1	4
G3_D1_1855	79.25	100.0	89.25	7.58	5	0
G3_D2_2588	62.5	100.0	80.17	14.01	5	0
G3_D1_1851	71.21	100.0	86.0	10.36	5	0
G3_D1_1852	61.16	100.0	78.53	13.86	0	5
G3_D2_2584	32.03	100.0	73.12	17.17	5	0
G3_D2_2583	78.43	100.0	89.41	7.82	5	0
G3_D2_2586	71.25	100.0	84.43	10.74	5	0
G3_D2_2580	64.33	100.0	81.17	13.07	5	0
G3_D2_2582	43.87	100.0	66.09	21.07	0	5
G3_D2_2581	77.19	100.0	87.23	7.95	5	0
G3_D1_1321	29.93	100.0	58.57	26.39	5	0
G3_D1_1868	81.21	100.0	91.46	7.09	4	1
G3_D1_1862	77.85	100.0	88.59	8.03	5	0
G3_D1_1863	89.23	100.0	93.85	4.23	5	0
G3_D1_1860	67.82	100.0	82.25	11.8	5	0
G3_D1_1861	65.64	100.0	79.81	12.55	5	0
G3_D2_2576	88.8	100.0	93.2	4.37	5	0
G3_D1_1866	88.44	100.0	93.94	4.34	5	0
G3_D2_2577	76.12	100.0	87.38	9.11	5	0
G3_D1_1867	85.67	100.0	92.14	5.29	5	0
G3_D2_2578	76.62	100.0	88.34	9.08	5	0
G3_D1_1864	78.09	100.0	89.14	7.71	5	0
G3_D2_2579	80.19	100.0	87.99	7.32	5	0
G3_D2_2575	88.15	100.0	93.95	4.26	5	0
G3_D2_2574	85.71	100.0	93.44	5.33	5	0
G3_D2_2573	69.93	100.0	85.79	10.71	4	1
G3_D2_2571	77.35	100.0	89.48	7.97	5	0
G3_D2_2570	88.89	100.0	94.67	3.78	5	0
G3_D2_2569	91.08	100.0	95.53	2.86	5	0
G3_D2_3260	85.55	100.0	92.93	5.32	5	0
G3_D1_1388	64.74	100.0	78.66	14.3	5	0
G3_D2_3264	84.85	100.0	90.55	5.75	5	0
G3_D2_3263	82.15	100.0	88.91	6.59	3	2
G3_D2_3262	86.66	100.0	92.1	4.9	4	1
G3_D2_3261	70.17	100.0	81.92	11.93	5	0
G3_D2_3268	83.33	100.0	90.15	6.4	5	0
G3_D2_3266	77.2	100.0	87.01	9.08	5	0
G3_D2_3265	80.63	100.0	89.08	7.48	5	0
G3_D2_3259	88.55	100.0	94.33	4.27	5	0
G3_D1_1397	56.73	100.0	73.6	16.86	0	5
G3_D1_1395	72.65	100.0	86.91	10.31	5	0
G3_D1_1393	46.04	100.0	76.21	21.59	0	5
G3_D1_1391	53.88	100.0	78.11	17.29	0	5
G3_D1_0233	61.81	100.0	77.33	13.5	5	0
G3_D1_0235	72.81	100.0	82.69	11.12	5	0
G3_D1_1398	80.29	100.0	87.74	8.0	5	0
G3_D1_1399	74.27	100.0	83.04	10.77	0	5
G3_D2_3271	80.95	100.0	89.47	7.27	5	0
G3_D2_3270	78.47	100.0	91.03	6.63	5	0
G3_D2_3273	78.11	100.0	87.66	8.13	0	5
G3_D2_3272	87.26	100.0	92.77	4.92	5	0
G3_D2_3275	79.26	100.0	88.79	7.74	5	0
G3_D2_3277	90.18	100.0	94.84	3.83	5	0
G3_D2_3276	79.77	100.0	89.91	6.98	5	0
G3_D2_3279	68.63	100.0	85.37	11.78	5	0
G3_D2_3278	71.76	100.0	84.2	9.61	3	2
G3_D2_3269	85.58	100.0	92.57	4.91	4	1
G3_D1_1899	78.97	100.0	90.0	8.05	5	0
G3_D2_3282	71.2	100.0	86.41	10.54	0	5
G3_D2_3281	95.21	100.0	98.33	1.89	5	0
G3_D2_3280	68.42	100.0	85.89	11.91	5	0
G3_D2_0398	67.8	100.0	80.45	12.22	0	5
G3_D2_0399	85.15	100.0	92.04	5.65	0	5
G3_D2_0790	63.98	100.0	80.38	13.57	4	1
G3_D2_0791	32.52	100.0	64.78	24.45	2	3
G3_D2_3286	67.93	100.0	84.3	12.54	4	1
G3_D2_3285	72.15	100.0	84.54	10.39	5	0
G3_D2_3284	79.46	100.0	88.45	7.42	5	0
G3_D2_3283	65.73	100.0	79.19	11.41	5	0
G3_D2_0788	61.05	100.0	76.44	15.11	3	2
G3_D2_0787	81.05	100.0	90.72	6.81	5	0
G3_D2_0789	58.06	100.0	76.39	15.6	5	0
G3_D2_0786	88.07	100.0	93.73	4.3	5	0
G3_D2_0785	49.04	100.0	74.32	17.33	0	5
G3_D1_0255	50.0	100.0	76.24	19.18	5	0
G3_D1_0256	58.34	100.0	73.79	15.54	0	5
G3_D2_0397	84.58	100.0	92.6	5.55	5	0
G3_D2_0396	34.85	100.0	66.67	26.54	0	5
G3_D2_0395	12.1	100.0	53.44	35.62	0	5
G3_D2_0393	68.05	100.0	80.75	11.74	5	0
G3_D2_0392	82.09	100.0	89.7	6.41	5	0
G3_D2_0391	76.51	100.0	86.52	8.77	0	5
G3_D1_1385	42.02	100.0	66.32	20.53	5	0
G3_D2_0390	77.81	100.0	87.39	8.49	5	0
G3_D2_0898	60.32	100.0	75.84	15.16	5	0
G3_D2_0248	75.88	100.0	87.16	8.33	3	2
G3_D2_0899	30.83	100.0	64.86	23.63	5	0
G3_D2_3229	85.29	100.0	92.66	5.34	5	0
G3_D2_0249	63.25	100.0	79.27	13.75	0	5
G3_D2_3228	86.88	100.0	93.08	4.89	5	0
G3_D2_0246	88.17	100.0	94.14	4.27	0	5
G3_D2_0893	75.16	100.0	87.14	8.94	5	0
G3_D2_3227	71.38	100.0	84.5	10.07	5	0
G3_D2_1377	75.55	100.0	84.8	9.72	3	2
G3_D2_0247	70.0	100.0	85.21	11.15	0	5
G3_D2_0244	30.42	100.0	70.96	27.13	5	0
G3_D2_1379	60.65	100.0	80.67	14.95	5	0
G3_D2_0245	75.49	100.0	86.36	9.58	5	0
G3_D2_0896	68.78	100.0	83.88	11.38	0	5
G3_D2_3234	67.13	100.0	83.61	12.77	5	0
G3_D2_1384	83.26	100.0	91.5	6.03	0	5
G3_D2_1385	79.58	100.0	87.16	7.59	5	0
G3_D2_0253	84.14	100.0	90.82	5.97	5	0
G3_D2_1386	72.8	100.0	84.09	10.6	5	0
G3_D2_0252	51.21	100.0	72.92	18.66	5	0
G3_D2_3233	62.47	100.0	77.53	14.04	5	0
G3_D2_0251	64.23	100.0	79.74	13.12	5	0
G3_D2_1380	60.18	100.0	79.5	16.43	4	1
G3_D2_0250	68.48	100.0	81.82	12.04	5	0
G3_D2_1381	68.19	100.0	83.13	12.06	3	2
G3_D2_1382	50.63	100.0	73.97	19.2	5	0
G3_D2_1383	75.33	100.0	86.7	8.87	5	0
G3_D1_0718	72.71	100.0	84.01	10.06	5	0
G3_D1_0717	61.93	100.0	79.14	14.48	5	0
G3_D1_0719	66.77	100.0	80.85	12.52	5	0
G3_D1_0714	83.58	100.0	91.29	5.97	5	0
G3_D1_0713	87.76	100.0	92.45	4.67	5	0
G3_D1_0716	69.26	100.0	85.86	11.25	5	0
G3_D1_0715	78.07	100.0	91.69	7.75	5	0
G3_D2_0888	84.44	100.0	91.29	5.98	5	0
G3_D2_0889	90.62	100.0	95.56	3.4	5	0
G3_D2_0886	72.21	100.0	84.87	10.12	5	0
G3_D1_0711	26.2	100.0	65.3	27.01	0	5
G3_D2_0887	69.32	100.0	86.45	11.93	5	0
G3_D2_0255	56.3	100.0	76.55	15.95	0	5
G3_D2_0884	46.96	100.0	72.16	19.66	5	0
G3_D2_0256	65.91	100.0	84.36	10.63	5	0
G3_D2_0885	85.66	100.0	94.04	4.59	4	1
G3_D2_1389	76.65	100.0	87.42	9.21	5	0
G3_D2_1388	63.85	100.0	80.74	12.53	0	5
G3_D2_0258	69.3	100.0	82.84	11.49	2	3
G3_D2_1395	70.12	100.0	81.93	10.89	5	0
G3_D2_0265	51.57	100.0	68.07	19.13	0	5
G3_D2_0890	42.86	100.0	73.97	19.4	5	0
G3_D2_1396	79.95	100.0	87.73	7.61	5	0
G3_D2_1394	79.6	100.0	88.88	7.65	5	0
G3_D2_1391	23.89	100.0	72.51	32.44	0	5
G3_D1_0320	55.0	100.0	70.24	16.53	5	0
G3_D1_0321	71.31	100.0	84.29	10.17	5	0
G3_D1_0322	68.73	100.0	81.54	12.02	4	1
G3_D2_0879	85.33	100.0	91.69	5.45	5	0
G3_D2_0224	84.73	100.0	91.3	5.7	0	5
G3_D2_0871	22.68	100.0	42.04	29.2	5	0
G3_D2_3249	83.69	100.0	92.68	6.04	5	0
G3_D2_0225	81.42	100.0	90.12	6.35	5	0
G3_D2_3248	78.65	100.0	86.54	8.39	5	0
G3_D2_1358	82.25	100.0	89.92	7.08	5	0
G3_D2_0222	90.18	100.0	94.14	3.84	5	0
G3_D2_0873	76.86	100.0	85.88	9.22	3	2
G3_D2_3247	69.44	100.0	81.89	10.75	5	0
G3_D2_1357	73.09	100.0	87.15	10.09	5	0
G3_D2_0223	87.54	100.0	94.05	4.29	5	0
G3_D2_0874	81.94	100.0	89.15	6.46	5	0
G3_D2_0875	92.86	100.0	97.0	2.78	5	0
G3_D2_1359	75.58	100.0	88.78	8.72	4	1
G3_D2_0229	81.89	100.0	90.33	6.67	5	0
G3_D2_0226	62.14	100.0	79.54	14.22	5	0
G3_D2_3252	93.96	100.0	97.13	2.22	5	0
G3_D2_3253	84.92	100.0	91.51	5.62	5	0
G3_D2_3250	96.33	100.0	98.24	1.4	5	0
G3_D2_1360	16.43	100.0	60.08	31.68	5	0
G3_D2_3251	88.44	100.0	94.62	4.35	5	0
G3_D2_1361	71.81	100.0	89.75	9.89	5	0
G3_D2_3256	85.16	100.0	92.99	5.51	4	1
G3_D2_1362	92.44	100.0	96.59	2.7	5	0
G3_D2_0232	88.24	100.0	93.13	4.32	5	0
G3_D2_3257	43.09	100.0	71.28	19.21	4	1
G3_D2_1363	60.62	100.0	76.16	15.35	4	1
G3_D2_0231	72.02	100.0	82.57	11.47	5	0
G3_D2_3254	91.03	100.0	96.1	3.04	5	0
G3_D2_1364	81.05	100.0	91.13	6.77	5	0
G3_D2_0230	68.81	100.0	82.02	11.32	0	5
G3_D2_0881	85.59	100.0	92.94	5.19	5	0
G3_D2_3255	96.63	100.0	98.74	1.2	5	0
G3_D2_1365	91.08	100.0	94.72	3.15	5	0
G3_D2_0880	87.76	100.0	93.72	4.7	5	0
G3_D2_0868	78.17	100.0	87.68	8.0	5	0
G3_D2_0869	82.05	100.0	89.31	6.8	5	0
G3_D2_3237	69.32	100.0	82.31	11.05	5	0
G3_D2_1369	45.49	100.0	66.22	20.66	0	5
