G1_D1_0004|G4_D1_2775, G1_D1_0004|G4_D1_2592, 74.44
G1_D1_0771|G3_D2_2140, G1_D1_0771|G3_D2_2355, 4.38
G1_D1_0786|G2_D5_166, G1_D1_0786|G2_D5_038, 18.72
G1_D1_0795|G1_D1_3849, G1_D1_0795|G1_D1_0107, 100.00
G1_D1_0817|G3_D1_1603, G1_D1_0817|G3_D1_2192, 31.58
G1_D1_0848|G3_D1_2117, G1_D1_0848|G3_D2_2859, 3.75
G1_D1_0864|G2_D7_1254, G1_D1_0864|G2_D8_0975, 83.92
G1_D1_0867|G1_D2_2841, G1_D1_0867|G1_D1_0867, 100.00
G1_D1_0868|G1_D2_2842, G1_D1_0868|G1_D1_0868, 100.00
G1_D1_0880|G2_D6_0830, G1_D1_0880|G2_D8_1034, 36.72
G1_D1_0889|G4_D2_0305, G1_D1_0889|G4_D2_1545, 18.14
G1_D1_0897|G4_D2_1041, G1_D1_0897|G4_D2_2305, 11.59
G1_D1_0914|G4_D1_1870, G1_D1_0914|G4_D2_0688, 11.22
G1_D1_0915|G3_D1_0360, G1_D1_0915|G3_D1_0443, 18.33
G1_D1_0918|G2_D7_1686, G1_D1_0918|G2_D7_1676, 80.00
G1_D1_0949|G1_D2_2818, G1_D1_0949|G1_D2_0260, 100.00
G1_D1_1046|G2_D6_0655, G1_D1_1046|G2_D6_0723, 13.50
G1_D1_1051|G2_D7_1579, G1_D1_1051|G2_D6_0235, 45.74
G1_D1_1081|G3_D1_2254, G1_D1_1081|G3_D2_2776, 5.36
G1_D1_1230|G2_D5_163, G1_D1_1230|G2_D8_0116, 2.21
G1_D1_1255|G2_D8_2631, G1_D1_1255|G2_D7_0975, 30.30
G1_D1_1256|G1_D2_2847, G1_D1_1256|G1_D1_1256, 100.00
G1_D1_1257|G1_D2_2848, G1_D1_1257|G1_D1_1257, 100.00
G1_D1_1258|G2_D8_2631, G1_D1_1258|G2_D7_0975, 8.59
G1_D1_1260|G2_D6_0708, G1_D1_1260|G2_D7_0974, 20.23
G1_D1_1261|G2_D6_0707, G1_D1_1261|G2_D7_0973, 68.97
G1_D1_1266|G2_D2_150, G1_D1_1266|G2_D8_3083, 32.91
G1_D1_1364|G5_D4_266, G1_D1_1364|G5_D1_1795, 3.37
G1_D1_1423|G3_D1_0095, G1_D1_1423|G3_D2_3176, 41.38
G1_D1_1460|G5_D4_293, G1_D1_1460|G5_D1_2376, 31.58
G1_D1_1463|G3_D1_0013, G1_D1_1463|G3_D2_1930, 3.48
G1_D1_1532|G1_D3_0848, G1_D1_1532|G1_D1_1532, 100.00
G1_D1_1533|G1_D3_0847, G1_D1_1533|G1_D1_3307, 100.00
G1_D1_1534|G1_D3_0846, G1_D1_1534|G1_D1_1534, 100.00
G1_D1_1535|G1_D3_0845, G1_D1_1535|G1_D1_1535, 100.00
G1_D1_1539|G3_D1_1475, G1_D1_1539|G3_D1_2250, 7.07
G1_D1_1550|G5_D2_1488, G1_D1_1550|G5_D2_1521, 27.08
G1_D1_1559|G5_D1_1323, G1_D1_1559|G5_D1_0538, 38.12
G1_D1_1659|G2_D8_1714, G1_D1_1659|G2_D8_2879, 32.79
G1_D1_1672|G3_D2_2859, G1_D1_1672|G3_D1_2117, 9.75
G1_D1_1681|G3_D2_0782, G1_D1_1681|G3_D1_1834, 38.08
G1_D1_1685|G4_D2_1432, G1_D1_1685|G4_D1_1793, 22.10
G1_D1_1686|G4_D1_0144, G1_D1_1686|G4_D1_2698, 22.88
G1_D1_1697|G2_D7_1547, G1_D1_1697|G2_D8_0913, 33.16
G1_D1_1701|G1_D2_2842, G1_D1_1701|G1_D1_0868, 100.00
G1_D1_1702|G1_D2_2841, G1_D1_1702|G1_D1_0867, 100.00
G1_D1_1727|G4_D2_2418, G1_D1_1727|G4_D1_1180, 28.18
G1_D1_1728|G1_D2_2847, G1_D1_1728|G1_D1_1256, 100.00
G1_D1_1729|G1_D2_2848, G1_D1_1729|G1_D1_1257, 100.00
G1_D1_1730|G2_D6_0767, G1_D1_1730|G2_D8_1991, 51.87
G1_D1_1765|G1_D2_1083, G1_D1_1765|G1_D1_4292, 100.00
G1_D1_1766|G1_D2_1082, G1_D1_1766|G1_D1_4293, 100.00
G1_D1_1791|G3_D2_1911, G1_D1_1791|G3_D1_1069, 16.79
G1_D1_1793|G1_D1_1823, G1_D1_1793|G1_D1_1793, 100.00
G1_D1_1794|G1_D1_1824, G1_D1_1794|G1_D1_1794, 100.00
G1_D1_1795|G1_D1_1825, G1_D1_1795|G1_D1_1795, 100.00
G1_D1_1796|G1_D1_1826, G1_D1_1796|G1_D1_1796, 100.00
G1_D1_1797|G1_D1_1827, G1_D1_1797|G1_D1_1797, 100.00
G1_D1_1798|G1_D1_1828, G1_D1_1798|G1_D1_1798, 100.00
G1_D1_1799|G1_D1_1829, G1_D1_1799|G1_D1_1799, 100.00
G1_D1_1800|G1_D1_1830, G1_D1_1800|G1_D1_1800, 100.00
G1_D1_1801|G1_D1_1831, G1_D1_1801|G1_D1_1801, 100.00
G1_D1_1802|G1_D1_1832, G1_D1_1802|G1_D1_1802, 100.00
G1_D1_1803|G1_D1_1833, G1_D1_1803|G1_D1_1803, 100.00
G1_D1_1804|G1_D1_1834, G1_D1_1804|G1_D1_1804, 100.00
G1_D1_1805|G1_D1_1835, G1_D1_1805|G1_D1_1805, 100.00
G1_D1_1806|G1_D1_1836, G1_D1_1806|G1_D1_1806, 100.00
G1_D1_1807|G1_D1_1837, G1_D1_1807|G1_D1_1807, 100.00
G1_D1_1808|G1_D1_1838, G1_D1_1808|G1_D1_1808, 100.00
G1_D1_1809|G1_D1_1839, G1_D1_1809|G1_D1_1809, 100.00
G1_D1_1810|G1_D1_1840, G1_D1_1810|G1_D1_1810, 100.00
G1_D1_1811|G1_D1_1841, G1_D1_1811|G1_D1_1811, 100.00
G1_D1_1812|G1_D1_1842, G1_D1_1812|G1_D1_1812, 100.00
G1_D1_1813|G1_D1_1843, G1_D1_1813|G1_D1_1813, 100.00
G1_D1_1814|G1_D1_1844, G1_D1_1814|G1_D1_1814, 100.00
G1_D1_1815|G1_D1_1845, G1_D1_1815|G1_D1_1815, 100.00
G1_D1_1816|G1_D1_1846, G1_D1_1816|G1_D1_1816, 100.00
G1_D1_1817|G1_D1_1847, G1_D1_1817|G1_D1_1817, 100.00
G1_D1_1818|G1_D1_1848, G1_D1_1818|G1_D1_1818, 100.00
G1_D1_1819|G1_D1_1849, G1_D1_1819|G1_D1_1819, 100.00
G1_D1_1820|G1_D1_1850, G1_D1_1820|G1_D1_1820, 100.00
G1_D1_1821|G1_D1_1851, G1_D1_1821|G1_D1_1821, 100.00
G1_D1_1822|G1_D1_1852, G1_D1_1822|G1_D1_1822, 100.00
G1_D1_1823|G1_D1_1823, G1_D1_1823|G1_D1_1793, 100.00
G1_D1_1824|G1_D1_1824, G1_D1_1824|G1_D1_1794, 100.00
G1_D1_1825|G1_D1_1825, G1_D1_1825|G1_D1_1795, 100.00
G1_D1_1826|G1_D1_1826, G1_D1_1826|G1_D1_1796, 100.00
G1_D1_1827|G1_D1_1827, G1_D1_1827|G1_D1_1797, 100.00
G1_D1_1828|G1_D1_1828, G1_D1_1828|G1_D1_1798, 100.00
G1_D1_1829|G1_D1_1829, G1_D1_1829|G1_D1_1799, 100.00
G1_D1_1830|G1_D1_1830, G1_D1_1830|G1_D1_1800, 100.00
G1_D1_1831|G1_D1_1831, G1_D1_1831|G1_D1_1801, 100.00
G1_D1_1832|G1_D1_1832, G1_D1_1832|G1_D1_1802, 100.00
G1_D1_1833|G1_D1_1833, G1_D1_1833|G1_D1_1803, 100.00
G1_D1_1834|G1_D1_1834, G1_D1_1834|G1_D1_1804, 100.00
G1_D1_1835|G1_D1_1835, G1_D1_1835|G1_D1_1805, 100.00
G1_D1_1836|G1_D1_1836, G1_D1_1836|G1_D1_1806, 100.00
G1_D1_1837|G1_D1_1837, G1_D1_1837|G1_D1_1807, 100.00
G1_D1_1838|G1_D1_1838, G1_D1_1838|G1_D1_1808, 100.00
G1_D1_1839|G1_D1_1839, G1_D1_1839|G1_D1_1809, 100.00
G1_D1_1840|G1_D1_1840, G1_D1_1840|G1_D1_1810, 100.00
G1_D1_1841|G1_D1_1841, G1_D1_1841|G1_D1_1811, 100.00
G1_D1_1842|G1_D1_1842, G1_D1_1842|G1_D1_1812, 100.00
G1_D1_1843|G1_D1_1843, G1_D1_1843|G1_D1_1813, 100.00
G1_D1_1844|G1_D1_1844, G1_D1_1844|G1_D1_1814, 100.00
G1_D1_1845|G1_D1_1845, G1_D1_1845|G1_D1_1815, 100.00
G1_D1_1846|G1_D1_1846, G1_D1_1846|G1_D1_1816, 100.00
G1_D1_1847|G1_D1_1847, G1_D1_1847|G1_D1_1817, 100.00
G1_D1_1848|G1_D1_1848, G1_D1_1848|G1_D1_1818, 100.00
G1_D1_1849|G1_D1_1849, G1_D1_1849|G1_D1_1819, 100.00
G1_D1_1850|G1_D1_1850, G1_D1_1850|G1_D1_1820, 100.00
G1_D1_1851|G1_D1_1851, G1_D1_1851|G1_D1_1821, 100.00
G1_D1_1852|G1_D1_1852, G1_D1_1852|G1_D1_1822, 100.00
G1_D1_1865|G5_D2_2121, G1_D1_1865|G5_D4_564, 20.00
G1_D1_1866|G3_D2_2649, G1_D1_1866|G3_D2_2699, 51.52
G1_D1_1867|G2_D6_0593, G1_D1_1867|G2_D6_0079, 92.11
G1_D1_1868|G3_D2_2549, G1_D1_1868|G3_D1_0098, 20.42
G1_D1_1891|G5_D3_223, G1_D1_1891|G5_D3_207, 7.58
G1_D1_1894|G2_D8_1808, G1_D1_1894|G2_D7_0125, 2.94
G1_D1_1896|G1_D2_2848, G1_D1_1896|G1_D1_1257, 100.00
G1_D1_1897|G1_D2_2847, G1_D1_1897|G1_D1_1256, 100.00
G1_D1_1901|G1_D1_4307, G1_D1_1901|G1_D1_4296, 100.00
G1_D1_1902|G1_D1_4308, G1_D1_1902|G1_D1_4295, 100.00
G1_D1_1903|G1_D1_4309, G1_D1_1903|G1_D1_4294, 100.00
G1_D1_1904|G2_D2_195, G1_D1_1904|G2_D2_159, 57.00
G1_D1_1905|G2_D2_194, G1_D1_1905|G2_D2_158, 66.67
G1_D1_1907|G1_D2_2842, G1_D1_1907|G1_D1_0868, 100.00
G1_D1_1908|G1_D2_2841, G1_D1_1908|G1_D1_0867, 100.00
G1_D1_1956|G5_D2_0497, G1_D1_1956|G5_D2_2161, 13.03
G1_D1_2005|G1_D1_2005, G1_D1_2005|G1_D1_0683, 100.00
G1_D1_2006|G3_D2_2548, G1_D1_2006|G3_D2_1447, 14.54
G1_D1_2007|G1_D2_2848, G1_D1_2007|G1_D1_1257, 100.00
G1_D1_2008|G1_D2_2847, G1_D1_2008|G1_D1_1256, 100.00
G1_D1_2016|G5_D2_0128, G1_D1_2016|G5_D1_0584, 27.24
G1_D1_2022|G2_D8_2628, G1_D1_2022|G2_D7_0972, 7.08
G1_D1_2029|G1_D2_1153, G1_D1_2029|G1_D1_2029, 100.00
G1_D1_2030|G1_D2_1154, G1_D1_2030|G1_D1_2030, 100.00
G1_D1_2031|G2_D7_0974, G1_D1_2031|G2_D8_2630, 39.16
G1_D1_2098|G2_D8_2879, G1_D1_2098|G2_D8_1714, 92.37
G1_D1_2284|G2_D8_3150, G1_D1_2284|G2_D8_2004, 7.08
G1_D1_2327|G2_D7_0425, G1_D1_2327|G2_D7_0833, 34.07
G1_D1_2342|G5_D1_3002, G1_D1_2342|G5_D3_162, 70.63
G1_D1_2346|G1_D2_2842, G1_D1_2346|G1_D1_0868, 100.00
G1_D1_2347|G1_D2_2841, G1_D1_2347|G1_D1_0867, 100.00
G1_D1_2355|G4_D2_0249, G1_D1_2355|G4_D2_1543, 29.91
G1_D1_2356|G5_D4_523, G1_D1_2356|G5_D1_0464, 29.04
G1_D1_2366|G5_D4_889, G1_D1_2366|G5_D4_928, 2.53
G1_D1_2419|G2_D7_1496, G1_D1_2419|G2_D6_0449, 6.25
G1_D1_2464|G3_D2_1425, G1_D1_2464|G3_D2_1441, 2.49
G1_D1_2474|G2_D6_0875, G1_D1_2474|G2_D3_064, 22.13
G1_D1_2518|G1_D1_2518, G1_D1_2518|G1_D1_0305, 100.00
G1_D1_2553|G3_D2_2578, G1_D1_2553|G3_D1_1515, 13.10
G1_D1_2579|G1_D2_2841, G1_D1_2579|G1_D1_0867, 100.00
G1_D1_2580|G1_D2_2842, G1_D1_2580|G1_D1_0868, 100.00
G1_D1_2581|G5_D2_1173, G1_D1_2581|G5_D4_673, 15.95
G1_D1_2592|G2_D8_1613, G1_D1_2592|G2_D8_2306, 34.71
G1_D1_2611|G3_D2_0212, G1_D1_2611|G3_D1_2327, 15.25
G1_D1_2628|G2_D2_148, G1_D1_2628|G2_D8_0006, 72.78
G1_D1_2629|G2_D2_149, G1_D1_2629|G2_D8_0007, 86.35
G1_D1_2632|G2_D5_108, G1_D1_2632|G2_D6_0086, 24.17
G1_D1_2637|G2_D2_121, G1_D1_2637|G2_D6_0668, 18.56
G1_D1_2687|G3_D1_0373, G1_D1_2687|G3_D2_1528, 20.57
G1_D1_2688|G3_D1_0098, G1_D1_2688|G3_D1_0374, 16.53
G1_D1_2695|G3_D2_2854, G1_D1_2695|G3_D2_3043, 32.47
G1_D1_2696|G5_D1_2758, G1_D1_2696|G5_D3_117, 4.12
G1_D1_2708|G3_D2_2708, G1_D1_2708|G3_D2_1528, 11.50
G1_D1_2789|G5_D3_162, G1_D1_2789|G5_D1_3002, 25.00
G1_D1_2893|G5_D4_065, G1_D1_2893|G5_D1_0800, 28.42
G1_D1_2938|G2_D7_0894, G1_D1_2938|G2_D8_0122, 22.89
G1_D1_2954|G3_D1_2359, G1_D1_2954|G3_D1_1244, 23.61
G1_D1_2975|G4_D1_3380, G1_D1_2975|G4_D1_3380, 2.22
G1_D1_3030|G3_D1_1124, G1_D1_3030|G3_D1_0916, 22.27
G1_D1_3137|G2_D2_006, G1_D1_3137|G2_D2_117, 14.94
G1_D1_3182|G5_D2_0746, G1_D1_3182|G5_D1_1914, 2.77
G1_D1_3190|G3_D2_3089, G1_D1_3190|G3_D2_1425, 5.16
G1_D1_3246|G3_D2_2548, G1_D1_3246|G3_D2_2708, 7.45
G1_D1_3257|G3_D1_1875, G1_D1_3257|G3_D1_1080, 23.28
G1_D1_3281|G2_D7_0838, G1_D1_3281|G2_D7_0796, 33.11
G1_D1_3284|G4_D2_0587, G1_D1_3284|G4_D2_1671, 5.49
G1_D1_3288|G1_D3_0848, G1_D1_3288|G1_D1_1532, 100.00
G1_D1_3289|G1_D3_0747, G1_D1_3289|G1_D1_3289, 100.00
G1_D1_3290|G1_D3_0748, G1_D1_3290|G1_D1_3290, 100.00
G1_D1_3291|G1_D3_0749, G1_D1_3291|G1_D1_3291, 100.00
G1_D1_3292|G1_D3_0750, G1_D1_3292|G1_D1_3292, 100.00
G1_D1_3294|G1_D3_0846, G1_D1_3294|G1_D1_1534, 100.00
G1_D1_3295|G1_D3_0845, G1_D1_3295|G1_D1_1535, 100.00
G1_D1_3306|G1_D3_0848, G1_D1_3306|G1_D1_1532, 100.00
G1_D1_3307|G1_D3_0847, G1_D1_3307|G1_D1_3307, 100.00
G1_D1_3308|G1_D3_0846, G1_D1_3308|G1_D1_1534, 100.00
G1_D1_3309|G1_D3_0845, G1_D1_3309|G1_D1_1535, 100.00
G1_D1_3399|G4_D1_2775, G1_D1_3399|G4_D1_2592, 74.56
G1_D1_3412|G2_D7_1254, G1_D1_3412|G2_D8_0975, 90.79
G1_D1_3531|G5_D4_266, G1_D1_3531|G5_D1_1795, 8.65
G1_D1_3557|G2_D8_1330, G1_D1_3557|G2_D6_0744, 15.01
G1_D1_3576|G5_D4_593, G1_D1_3576|G5_D1_2386, 89.08
G1_D1_3626|G2_D8_0492, G1_D1_3626|G2_D8_2179, 8.65
G1_D1_3849|G1_D1_3849, G1_D1_3849|G1_D1_0107, 100.00
G1_D1_3919|G3_D2_2859, G1_D1_3919|G3_D1_2117, 81.25
G1_D1_4076|G1_D1_4089, G1_D1_4076|G1_D1_4076, 100.00
G1_D1_4089|G1_D1_4089, G1_D1_4089|G1_D1_4076, 100.00
G1_D1_4122|G2_D5_029, G1_D1_4122|G2_D6_0601, 3.19
G1_D1_4127|G3_D2_2649, G1_D1_4127|G3_D2_2699, 55.64
G1_D1_4128|G2_D6_0593, G1_D1_4128|G2_D6_0079, 92.11
G1_D1_4132|G2_D2_210, G1_D1_4132|G2_D2_157, 3.99
G1_D1_4134|G2_D8_0206, G1_D1_4134|G2_D8_3212, 7.80
G1_D1_4287|G2_D4_161, G1_D1_4287|G2_D6_0602, 17.98
G1_D1_4292|G1_D2_1083, G1_D1_4292|G1_D1_4292, 100.00
G1_D1_4293|G1_D2_1082, G1_D1_4293|G1_D1_4293, 100.00
G1_D1_4294|G1_D1_4309, G1_D1_4294|G1_D1_4294, 100.00
G1_D1_4295|G1_D1_4308, G1_D1_4295|G1_D1_4295, 100.00
G1_D1_4296|G1_D1_4307, G1_D1_4296|G1_D1_4296, 100.00
G1_D1_4298|G4_D1_0286, G1_D1_4298|G4_D1_0713, 15.88
G1_D1_4302|G1_D1_4302, G1_D1_4302|G1_D1_0007, 100.00
G1_D1_4307|G1_D1_4307, G1_D1_4307|G1_D1_4296, 100.00
G1_D1_4308|G1_D1_4308, G1_D1_4308|G1_D1_4295, 100.00
G1_D1_4309|G1_D1_4309, G1_D1_4309|G1_D1_4294, 100.00
G1_D2_0027|G2_D7_0065, G1_D2_0027|G2_D8_1075, 24.51
G1_D2_0107|G4_D1_1849, G1_D2_0107|G4_D1_1931, 19.16
G1_D2_0114|G1_D3_0845, G1_D2_0114|G1_D1_1535, 100.00
G1_D2_0115|G1_D3_0846, G1_D2_0115|G1_D1_1534, 100.00
G1_D2_0116|G1_D3_0847, G1_D2_0116|G1_D1_3307, 100.00
G1_D2_0117|G1_D3_0848, G1_D2_0117|G1_D1_1532, 100.00
G1_D2_0222|G5_D1_1322, G1_D2_0222|G5_D1_0093, 31.52
G1_D2_0254|G5_D2_2303, G1_D2_0254|G5_D2_2333, 27.83
G1_D2_0260|G1_D2_2818, G1_D2_0260|G1_D2_0260, 100.00
G1_D2_0283|G2_D8_2879, G1_D2_0283|G2_D8_1714, 26.08
G1_D2_0298|G2_D8_2879, G1_D2_0298|G2_D8_1714, 23.85
G1_D2_0326|G3_D1_1151, G1_D2_0326|G3_D1_0255, 36.84
G1_D2_0327|G2_D7_2031, G1_D2_0327|G2_D8_1761, 20.41
G1_D2_0388|G2_D7_1855, G1_D2_0388|G2_D7_1280, 25.75
G1_D2_0391|G2_D8_1145, G1_D2_0391|G2_D7_1169, 14.14
G1_D2_0451|G2_D7_1715, G1_D2_0451|G2_D8_3199, 2.66
G1_D2_0514|G2_D7_0978, G1_D2_0514|G2_D7_0941, 37.58
G1_D2_0556|G3_D2_0211, G1_D2_0556|G3_D1_1570, 35.00
G1_D2_0571|G5_D1_2664, G1_D2_0571|G5_D1_1684, 3.05
G1_D2_0634|G5_D4_075, G1_D2_0634|G5_D1_1290, 44.74
G1_D2_0643|G4_D1_1668, G1_D2_0643|G4_D2_2027, 5.66
G1_D2_0645|G4_D1_1456, G1_D2_0645|G4_D1_0038, 12.42
G1_D2_0688|G5_D4_584, G1_D2_0688|G5_D4_347, 18.27
G1_D2_0705|G2_D7_0087, G1_D2_0705|G2_D7_0307, 40.31
G1_D2_0713|G2_D7_0556, G1_D2_0713|G2_D7_0425, 33.86
G1_D2_0812|G5_D2_1389, G1_D2_0812|G5_D4_560, 40.60
G1_D2_0844|G2_D7_1781, G1_D2_0844|G2_D6_0786, 30.86
G1_D2_0856|G2_D6_0768, G1_D2_0856|G2_D7_0085, 5.96
G1_D2_0861|G4_D2_1677, G1_D2_0861|G4_D1_3329, 87.50
G1_D2_0873|G4_D2_2232, G1_D2_0873|G4_D2_0587, 28.57
G1_D2_0879|G2_D8_3084, G1_D2_0879|G2_D6_0132, 36.20
G1_D2_0902|G2_D8_1454, G1_D2_0902|G2_D6_0253, 28.44
G1_D2_0913|G4_D1_1558, G1_D2_0913|G4_D2_1798, 13.82
G1_D2_0940|G2_D8_2405, G1_D2_0940|G2_D8_2405, 7.88
G1_D2_0980|G5_D4_643, G1_D2_0980|G5_D2_1665, 21.57
G1_D2_0982|G5_D2_2061, G1_D2_0982|G5_D2_1413, 22.36
G1_D2_0992|G5_D2_0846, G1_D2_0992|G5_D2_2398, 17.85
G1_D2_1051|G5_D1_2845, G1_D2_1051|G5_D4_532, 37.34
G1_D2_1082|G1_D2_1082, G1_D2_1082|G1_D1_4293, 100.00
G1_D2_1083|G1_D2_1083, G1_D2_1083|G1_D1_4292, 100.00
G1_D2_1084|G5_D2_1624, G1_D2_1084|G5_D1_1243, 19.61
G1_D2_1092|G4_D1_2734, G1_D2_1092|G4_D1_0940, 34.83
G1_D2_1153|G1_D2_1153, G1_D2_1153|G1_D1_2029, 100.00
G1_D2_1154|G1_D2_1154, G1_D2_1154|G1_D1_2030, 100.00
G1_D2_1155|G1_D2_1155, G1_D2_1155|G1_D1_0658, 100.00
G1_D2_1167|G2_D6_0080, G1_D2_1167|G2_D6_0592, 2.02
G1_D2_1190|G3_D2_1543, G1_D2_1190|G3_D1_2122, 31.82
G1_D2_1197|G4_D2_2396, G1_D2_1197|G4_D1_2686, 46.72
G1_D2_1198|G2_D8_1086, G1_D2_1198|G2_D8_2491, 28.82
G1_D2_1215|G4_D2_0428, G1_D2_1215|G4_D2_1731, 29.96
G1_D2_1242|G2_D8_2408, G1_D2_1242|G2_D8_2830, 14.82
G1_D2_1275|G5_D1_1276, G1_D2_1275|G5_D2_1392, 12.73
G1_D2_1304|G1_D2_1304, G1_D2_1304|G1_D1_0716, 100.00
G1_D2_1323|G2_D8_1422, G1_D2_1323|G2_D6_0178, 1.98
G1_D2_1332|G3_D1_2350, G1_D2_1332|G3_D1_2122, 27.01
G1_D2_1397|G3_D1_1646, G1_D2_1397|G3_D1_1841, 16.50
G1_D2_1412|G1_D3_0848, G1_D2_1412|G1_D1_1532, 100.00
G1_D2_1413|G1_D3_0847, G1_D2_1413|G1_D1_3307, 100.00
G1_D2_1414|G1_D3_0846, G1_D2_1414|G1_D1_1534, 100.00
G1_D2_1415|G1_D3_0845, G1_D2_1415|G1_D1_1535, 100.00
G1_D2_1464|G3_D2_0437, G1_D2_1464|G3_D1_2125, 40.51
G1_D2_1471|G4_D2_2081, G1_D2_1471|G4_D2_2082, 52.38
G1_D2_1487|G3_D1_1634, G1_D2_1487|G3_D1_0493, 26.38
G1_D2_1494|G5_D4_869, G1_D2_1494|G5_D4_885, 12.43
G1_D2_1510|G3_D2_2694, G1_D2_1510|G3_D1_1559, 18.39
G1_D2_1524|G3_D1_0087, G1_D2_1524|G3_D1_1524, 12.07
G1_D2_1545|G3_D2_1962, G1_D2_1545|G3_D2_0215, 7.10
G1_D2_1553|G4_D1_2319, G1_D2_1553|G4_D1_2319, 14.46
G1_D2_1570|G5_D4_921, G1_D2_1570|G5_D1_0977, 8.10
G1_D2_1616|G5_D2_0123, G1_D2_1616|G5_D1_2876, 25.50
G1_D2_1624|G4_D2_0073, G1_D2_1624|G4_D1_1945, 21.48
G1_D2_1646|G3_D1_1608, G1_D2_1646|G3_D1_1627, 7.28
G1_D2_1649|G3_D1_1546, G1_D2_1649|G3_D2_2802, 18.34
G1_D2_1657|G5_D2_0415, G1_D2_1657|G5_D2_2100, 22.12
G1_D2_1690|G2_D7_1514, G1_D2_1690|G2_D7_0868, 4.12
G1_D2_1703|G2_D6_0223, G1_D2_1703|G2_D7_0567, 24.10
G1_D2_1736|G2_D4_170, G1_D2_1736|G2_D8_1642, 79.27
G1_D2_1814|G5_D1_1337, G1_D2_1814|G5_D2_1703, 4.74
G1_D2_1816|G2_D4_169, G1_D2_1816|G2_D8_1641, 80.07
G1_D2_1817|G2_D8_1640, G1_D2_1817|G2_D5_027, 70.64
G1_D2_1835|G2_D4_159, G1_D2_1835|G2_D8_1637, 1.43
G1_D2_1853|G3_D1_1799, G1_D2_1853|G3_D2_2857, 14.58
G1_D2_1972|G3_D2_0867, G1_D2_1972|G3_D1_1099, 40.95
G1_D2_1983|G2_D5_396, G1_D2_1983|G2_D6_0157, 20.00
G1_D2_2000|G4_D2_1978, G1_D2_2000|G4_D1_1040, 42.50
G1_D2_2033|G3_D1_0908, G1_D2_2033|G3_D2_0805, 26.12
G1_D2_2102|G5_D1_1549, G1_D2_2102|G5_D2_2204, 6.53
G1_D2_2188|G4_D2_0652, G1_D2_2188|G4_D2_0652, 0.55
G1_D2_2213|G3_D1_1558, G1_D2_2213|G3_D2_3103, 13.40
